mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b,match_type
1086816,hadashtekli health post,tigray,UEE4wb8Eeks,hadash tekli health post,tigray,0.8173239231109619,hadashtekli health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,hadash tekli health post region:tigray zone:Central ZHD,confirmed
1086824,simret health post,tigray,JqfY9A1Sbz0,simret health post,tigray,0.8188343048095703,simret health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,simret health post region:tigray zone:Central ZHD,confirmed
1086824,simret health post,tigray,eu8pQWOMcSi,simret health post,tigray,0.8094284534454346,simret health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,simret health post region:tigray zone:Eastern ZHD,confirmed
1086824,simret health post,tigray,R3Wl8XhLrdc,simret health post,tigray,0.8090909123420715,simret health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,simret health post region:tigray zone:South Eastern ZHD,confirmed
1086824,simret health post,tigray,qstmpd69aR0,simret health post,tigray,0.8070014119148254,simret health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,simret health post region:tigray zone:Southern ZHD,confirmed
1086828,mizan health post,tigray,nwFba0d1GbI,mizan health post,tigray,0.8051347136497498,mizan health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,mizan health post region:tigray zone:North Western ZHD,confirmed
1086828,mizan health post,tigray,f0fTzLPlw7y,mizan health post,tigray,0.8082678318023682,mizan health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,mizan health post region:tigray zone:South Eastern ZHD,confirmed
1086833,selam health post,tigray,agvo7V7g5Y0,selam health post,tigray,0.8049411773681641,selam health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,selam health post region:tigray zone:Central ZHD,confirmed
1086833,selam health post,tigray,f2WtK2PsYJM,selam health post,tigray,0.8049411773681641,selam health post woreda:Tanqua-Milash Woreda region:tigray zone:Central Zone,selam health post region:tigray zone:Central ZHD,confirmed
1086934,nebelet health center,tigray,OQXU6MQnxhb,nebelet health center,tigray,0.8181735277175903,nebelet health center woreda:Embasneiti Woreda region:tigray zone:Central Zone,nebelet health center region:tigray zone:Central ZHD,confirmed
1086934,nebelet health center,tigray,UTAyMBZr9GU,nebelet health post,tigray,0.8013142943382263,nebelet health center woreda:Embasneiti Woreda region:tigray zone:Central Zone,nebelet health post region:tigray zone:Central ZHD,confirmed
1087019,daero ambasa health post,tigray,PVTnFljQHsa,daero anbesa health post,tigray,0.8225743174552917,daero ambasa health post woreda:Hahaile Woreda region:tigray zone:Central Zone,daero anbesa health post region:tigray zone:Central ZHD,confirmed
1087020,edaga hamus health post,tigray,sLsMjTpEOc0,edaga hamus health post,tigray,0.8668606877326965,edaga hamus health post woreda:Hahaile Woreda region:tigray zone:Central Zone,edaga hamus health post region:tigray zone:Central ZHD,confirmed
1087027,kola geble health post,tigray,wzdegHIPLFK,kola geble health post,tigray,0.8600273728370667,kola geble health post woreda:Hahaile Woreda region:tigray zone:Central Zone,kola geble health post region:tigray zone:Central ZHD,confirmed
1087029,may kuhli health post,tigray,NaMM8gRCTDr,may kuhli health post,tigray,0.882698655128479,may kuhli health post woreda:Hahaile Woreda region:tigray zone:Central Zone,may kuhli health post region:tigray zone:Central ZHD,confirmed
1087029,may kuhli health post,tigray,MoqMzbf0Csj,my kuhli health post,tigray,0.8004431128501892,may kuhli health post woreda:Hahaile Woreda region:tigray zone:Central Zone,my kuhli health post region:tigray zone:North Western ZHD,confirmed
