,,name_exact,name_levenshtein,name_jaro_winkler,name_cosine,region_exact,feature_sum,feature_mean
103,3973,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
103,4164,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
103,4165,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
103,4237,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
103,4474,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
103,4569,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
104,8789,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
105,8190,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
105,8412,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
105,8594,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
106,4025,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
106,4026,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
108,8181,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
108,8183,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
108,8291,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
108,8401,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
108,8402,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
110,8789,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
113,2817,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
115,3864,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
115,3865,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
115,3866,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
115,4186,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
115,5332,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
116,3311,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
116,4658,0,0.0,1.0,1.0,1,3.0,1.0
116,5394,0,0.0,1.0,1.0,1,3.0,1.0
118,3595,1,1.0,1.0,1.0,1,5.0,1.6666666666666667
118,3676,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
119,3320,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
119,3425,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
119,4344,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
119,5034,0,1.0,1.0,0.0,1,3.0,1.0
120,3083,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,3216,0,0.0,1.0,1.0,1,3.0,1.0
120,3328,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,4287,0,0.0,1.0,1.0,1,3.0,1.0
120,4330,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
120,4371,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,4465,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,4681,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
120,5210,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,5314,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
120,5757,0,0.0,0.0,0.0,1,1.0,0.3333333333333333
121,8133,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
121,8221,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
121,8304,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
121,8391,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
121,8551,0,1.0,1.0,1.0,1,4.0,1.3333333333333333
121,8691,0,0.0,1.0,0.0,1,2.0,0.6666666666666666
